Ngày,Công đoạn,Người HC,Giờ HC,Người TC,Giờ TC,Về giữa giờ,M3
02/05/2026,DBDH,44,352.00,0,0.00,0.00,13.9992
02/05/2026,DH07,17,136.00,0,0.00,0.00,0.1893
02/05/2026,DP09,9,72.00,0,0.00,0.00,1.1646
02/05/2026,LR02,18,144.00,0,0.00,0.00,9.8194
02/05/2026,NHA01,9,72.00,0,0.00,0.00,13.9992
02/05/2026,PHOI1,7,56.00,0,0.00,0.00,0.0000
04/05/2026,DBDH,52,416.00,49,171.50,3.00,10.3148
04/05/2026,DH07,20,160.00,18,63.00,3.00,5.2687
04/05/2026,DP09,9,72.00,9,31.50,0.00,6.5907
04/05/2026,LR02,22,176.00,21,73.50,0.00,13.7403
04/05/2026,NHA01,10,80.00,10,35.00,0.00,10.3148
04/05/2026,PHOI1,9,72.00,0,0.00,0.00,1.7509
05/05/2026,DBDH,55,440.00,54,189.00,0.00,7.3567
05/05/2026,DH07,22,176.00,22,77.00,0.00,5.6894
05/05/2026,DP09,9,72.00,9,31.50,0.00,1.3146
05/05/2026,LR02,23,184.00,22,77.00,0.00,12.5881
05/05/2026,NHA01,10,80.00,10,35.00,0.00,7.3567
05/05/2026,PHOI1,9,72.00,0,0.00,0.00,1.1751
06/05/2026,DBDH,52,416.00,0,0.00,0.00,26.5756
06/05/2026,DH07,21,168.00,0,0.00,0.00,0.4166
06/05/2026,DP09,9,72.00,0,0.00,0.00,2.0451
06/05/2026,LR02,21,168.00,0,0.00,4.00,4.8314
06/05/2026,NHA01,10,80.00,0,0.00,0.00,26.5756
06/05/2026,PHOI1,8,64.00,0,0.00,0.00,0.0029
07/05/2026,DBDH,57,456.00,59,206.50,0.00,7.8299
07/05/2026,DH07,23,184.00,22,77.00,0.00,13.4046
07/05/2026,DP09,9,72.00,8,28.00,0.00,11.5834
07/05/2026,LR02,22,176.00,22,77.00,0.00,3.0741
07/05/2026,NHA01,12,96.00,12,42.00,0.00,7.8299
07/05/2026,PHOI1,8,64.00,0,0.00,0.00,1.5334
08/05/2026,DBDH,56,448.00,54,189.00,0.00,7.4753
08/05/2026,DH07,23,184.00,22,77.00,0.00,10.1810
08/05/2026,DP09,9,72.00,7,24.50,0.00,1.1332
08/05/2026,LR02,21,168.00,21,73.50,0.00,3.4236
08/05/2026,NHA01,12,96.00,12,42.00,0.00,8.7829
08/05/2026,PHOI1,9,72.00,0,0.00,0.00,2.5390
09/05/2026,DBDH,53,424.00,0,0.00,0.00,4.9862
09/05/2026,DH07,23,184.00,0,0.00,0.00,7.8742
09/05/2026,DP09,10,80.00,0,0.00,0.00,3.1052
09/05/2026,LR02,21,168.00,0,0.00,0.00,5.4714
09/05/2026,NHA01,10,80.00,0,0.00,0.00,4.9862
09/05/2026,PHOI1,9,72.00,0,0.00,0.00,0.8986
10/05/2026,DBDH,48,384.00,0,0.00,0.00,6.4341
10/05/2026,DH07,18,144.00,0,0.00,0.00,1.2668
10/05/2026,DP09,7,56.00,0,0.00,0.00,3.4571
10/05/2026,LR02,20,160.00,0,0.00,0.00,24.4376
10/05/2026,NHA01,11,88.00,0,0.00,0.00,5.6011
10/05/2026,PHOI1,9,72.00,0,0.00,0.00,1.0014
11/05/2026,DBDH,50,400.00,49,171.50,0.00,3.3930
11/05/2026,DH07,20,160.00,20,70.00,0.00,7.6310
11/05/2026,DP09,10,80.00,10,35.00,0.00,3.7806
11/05/2026,LR02,20,160.00,19,66.50,0.00,4.8961
11/05/2026,NHA01,10,80.00,8,28.00,0.00,3.5938
11/05/2026,PHOI1,10,80.00,8,28.00,0.00,5.4645
12/05/2026,DBDH,55,440.00,53,185.50,3.00,11.2087
12/05/2026,DH07,22,176.00,22,77.00,0.00,8.7897
12/05/2026,DP09,10,80.00,9,31.50,0.00,4.9028
12/05/2026,LR02,22,176.00,21,73.50,3.00,2.4801
12/05/2026,NHA01,11,88.00,10,35.00,0.00,11.2087
12/05/2026,PHOI1,10,80.00,9,31.50,0.00,1.6414
13/05/2026,DBDH,56,448.00,0,0.00,0.00,4.7791
13/05/2026,DH07,22,176.00,0,0.00,0.00,2.0988
13/05/2026,DP09,11,88.00,0,0.00,0.00,2.7065
13/05/2026,LR02,23,184.00,0,0.00,0.00,4.8299
13/05/2026,NHA01,10,80.00,0,0.00,0.00,4.7791
13/05/2026,PHOI1,8,64.00,0,0.00,0.00,6.6836
14/05/2026,DBDH,57,456.00,53,185.50,4.00,5.6531
14/05/2026,DH07,21,168.00,21,73.50,4.00,3.5444
14/05/2026,DP09,12,96.00,11,38.50,0.00,22.1781
14/05/2026,LR02,25,200.00,22,77.00,0.00,2.9565
14/05/2026,NHA01,10,80.00,9,31.50,0.00,5.6531
14/05/2026,PHOI1,9,72.00,6,21.00,0.00,2.4672
15/05/2026,DBDH,56,448.00,53,185.50,0.00,18.4782
15/05/2026,DH07,20,160.00,17,59.50,0.00,4.5354
15/05/2026,DP09,9,72.00,8,28.00,0.00,5.3030
15/05/2026,LR02,26,208.00,23,80.50,0.00,8.3105
15/05/2026,NHA01,14,112.00,13,45.50,0.00,18.4782
